,alias,multipleImage,weekday,numberLikesCategory,amount_relevant_tags,moving_avg,numberPosts,numberFollowers,numberFollowing,website_available
276,1misssmeis,False,Friday,10,0,25741.8,988,720979,233,1
277,1misssmeis,False,Wednesday,10,0,34494.6,988,720979,233,1
278,1misssmeis,False,Monday,10,2,17638.4,988,720979,233,1
279,1misssmeis,False,Saturday,10,1,22506.0,988,720979,233,1
282,1misssmeis,False,Saturday,9,0,19071.2,988,720979,233,1
283,1misssmeis,False,Friday,9,0,25741.8,988,720979,233,1
285,1misssmeis,False,Saturday,9,3,22506.0,988,720979,233,1
286,1misssmeis,False,Thursday,8,0,19892.8,988,720979,233,1
287,1misssmeis,False,Friday,8,2,25741.8,988,720979,233,1
288,1misssmeis,False,Saturday,8,0,19071.2,988,720979,233,1
289,nwuuu,False,Saturday,10,0,19580.4,1521,949386,271,0
292,nwuuu,False,Friday,10,0,26348.6,1521,949386,271,0
293,nwuuu,False,Thursday,10,0,28159.8,1521,949386,271,0
295,nwuuu,False,Friday,10,0,19308.8,1521,949386,271,0
296,nwuuu,False,Tuesday,10,0,20674.2,1521,949386,271,0
298,nwuuu,False,Monday,10,0,20301.8,1521,949386,271,0
299,nwuuu,False,Saturday,10,0,21831.4,1521,949386,271,0
301,nwuuu,False,Friday,10,0,26348.6,1521,949386,271,0
302,nwuuu,False,Friday,10,0,26348.6,1521,949386,271,0
303,nwuuu,False,Wednesday,9,0,21194.6,1521,949386,271,0
304,nwuuu,False,Sunday,9,0,21897.2,1521,949386,271,0
305,nwuuu,False,Friday,9,0,19308.8,1521,949386,271,0
307,diegobarrueco,False,Sunday,10,0,18283.0,1461,679638,679,1
308,diegobarrueco,False,Sunday,10,0,30123.8,1461,679638,679,1
309,diegobarrueco,False,Tuesday,10,0,31910.8,1461,679638,679,1
310,diegobarrueco,False,Friday,10,0,29456.6,1461,679638,679,1
312,diegobarrueco,False,Saturday,10,0,28458.4,1461,679638,679,1
313,diegobarrueco,False,Tuesday,10,0,26839.4,1461,679638,679,1
314,diegobarrueco,False,Saturday,10,0,21848.6,1461,679638,679,1
318,diegobarrueco,False,Monday,9,0,26985.2,1461,679638,679,1
319,diegobarrueco,False,Saturday,9,0,21848.6,1461,679638,679,1
320,diegobarrueco,False,Thursday,8,0,30292.6,1461,679638,679,1
321,diegobarrueco,False,Friday,8,0,29456.6,1461,679638,679,1
322,diegobarrueco,False,Friday,7,0,29456.6,1461,679638,679,1
323,igorszucs,False,Wednesday,10,0,24603.4,326,328625,123,1
324,igorszucs,False,Wednesday,10,0,24603.4,326,328625,123,1
325,igorszucs,False,Wednesday,10,0,24603.4,326,328625,123,1
326,igorszucs,False,Wednesday,10,1,21971.8,326,328625,123,1
327,igorszucs,False,Friday,10,2,36750.4,326,328625,123,1
328,igorszucs,False,Friday,10,2,36750.4,326,328625,123,1
329,igorszucs,False,Friday,10,2,36750.4,326,328625,123,1
331,igorszucs,False,Tuesday,10,4,20119.4,326,328625,123,1
333,igorszucs,False,Thursday,10,0,34374.0,326,328625,123,1
335,igorszucs,False,Thursday,10,0,34374.0,326,328625,123,1
336,igorszucs,False,Thursday,10,1,34374.0,326,328625,123,1
337,igorszucs,False,Friday,10,3,22837.0,326,328625,123,1
341,kylekriegerhair,False,Monday,10,0,23032.8,1148,624346,498,1
344,kylekriegerhair,False,Sunday,10,0,34800.6,1148,624346,498,1
346,kylekriegerhair,False,Monday,10,0,24736.6,1148,624346,498,1
347,kylekriegerhair,False,Tuesday,10,0,34888.4,1148,624346,498,1
349,kylekriegerhair,True,Thursday,10,0,29053.6,1148,624346,498,1
350,kylekriegerhair,False,Saturday,10,0,24877.4,1148,624346,498,1
351,kylekriegerhair,False,Tuesday,10,0,24593.2,1148,624346,498,1
352,kylekriegerhair,True,Wednesday,10,0,26324.4,1148,624346,498,1
353,kylekriegerhair,False,Wednesday,10,0,23930.2,1148,624346,498,1
354,kylekriegerhair,False,Sunday,9,0,24791.8,1148,624346,498,1
355,kylekriegerhair,False,Saturday,9,0,25669.2,1148,624346,498,1
356,kylekriegerhair,True,Wednesday,8,0,33062.4,1148,624346,498,1
358,chloemorello,False,Tuesday,10,0,32349.0,3890,895846,1062,1
359,chloemorello,False,Saturday,10,0,18919.4,3890,895846,1062,1
362,chloemorello,False,Wednesday,10,0,36145.0,3890,895846,1062,1
364,chloemorello,False,Wednesday,10,0,18847.4,3890,895846,1062,1
366,chloemorello,False,Saturday,10,0,18919.4,3890,895846,1062,1
367,chloemorello,False,Wednesday,10,0,18847.4,3890,895846,1062,1
368,chloemorello,False,Thursday,10,0,18431.0,3890,895846,1062,1
369,chloemorello,False,Monday,9,0,23116.2,3890,895846,1062,1
370,chloemorello,False,Friday,9,0,36336.8,3890,895846,1062,1
371,chloemorello,False,Friday,9,0,36336.8,3890,895846,1062,1
372,chloemorello,False,Sunday,9,1,29795.8,3890,895846,1062,1
373,chloemorello,False,Sunday,9,0,24033.0,3890,895846,1062,1
375,real_nbamemes,False,Friday,10,0,39496.8,4901,409546,131,0
376,real_nbamemes,False,Thursday,10,1,38171.6,4901,409546,131,0
377,real_nbamemes,False,Wednesday,10,0,35064.0,4901,409546,131,0
378,real_nbamemes,False,Wednesday,10,0,35064.0,4901,409546,131,0
379,real_nbamemes,False,Friday,10,0,39496.8,4901,409546,131,0
381,real_nbamemes,False,Thursday,10,0,38171.6,4901,409546,131,0
382,real_nbamemes,False,Friday,10,0,39496.8,4901,409546,131,0
384,real_nbamemes,False,Saturday,10,0,39623.0,4901,409546,131,0
385,real_nbamemes,False,Thursday,10,0,38171.6,4901,409546,131,0
387,real_nbamemes,False,Sunday,10,0,39383.0,4901,409546,131,0
390,real_nbamemes,False,Sunday,10,0,39383.0,4901,409546,131,0
391,frenchiebutt,False,Friday,10,0,27359.6,1097,594452,98,0
393,frenchiebutt,False,Friday,10,0,31372.6,1097,594452,98,0
394,frenchiebutt,False,Sunday,10,0,30504.6,1097,594452,98,0
395,frenchiebutt,False,Thursday,10,0,30833.2,1097,594452,98,0
396,frenchiebutt,False,Thursday,10,1,29491.6,1097,594452,98,0
397,frenchiebutt,False,Friday,10,0,29018.8,1097,594452,98,0
399,frenchiebutt,False,Thursday,10,0,28943.2,1097,594452,98,0
401,frenchiebutt,False,Wednesday,10,0,31257.6,1097,594452,98,0
402,frenchiebutt,False,Thursday,10,0,30420.4,1097,594452,98,0
403,frenchiebutt,False,Wednesday,10,0,30426.4,1097,594452,98,0
406,frenchiebutt,False,Friday,10,0,30835.4,1097,594452,98,0
407,frenchiebutt,False,Monday,9,0,29261.6,1097,594452,98,0
409,taramilktea,False,Tuesday,10,0,36023.0,1106,670344,177,0
412,taramilktea,False,Sunday,10,0,29303.0,1106,670344,177,0
413,taramilktea,False,Thursday,10,0,35730.4,1106,670344,177,0
415,taramilktea,False,Wednesday,10,0,26161.4,1106,670344,177,0
416,taramilktea,False,Wednesday,10,0,36767.6,1106,670344,177,0
417,taramilktea,False,Sunday,10,0,37208.6,1106,670344,177,0
418,taramilktea,False,Friday,10,0,25543.4,1106,670344,177,0
419,taramilktea,False,Friday,10,0,25543.4,1106,670344,177,0
420,taramilktea,False,Tuesday,10,0,27406.2,1106,670344,177,0
422,taramilktea,False,Sunday,10,0,32954.8,1106,670344,177,0
423,taramilktea,False,Saturday,10,0,37932.0,1106,670344,177,0
424,taramilktea,False,Sunday,10,0,32954.8,1106,670344,177,0
425,carringtondurham,False,Monday,10,0,32107.0,977,653114,154,1
426,carringtondurham,False,Friday,10,0,25865.4,977,653114,154,1
427,carringtondurham,False,Monday,10,0,32548.4,977,653114,154,1
428,carringtondurham,False,Thursday,10,0,37211.8,977,653114,154,1
430,carringtondurham,False,Saturday,10,0,30449.6,977,653114,154,1
432,carringtondurham,False,Sunday,10,0,32157.2,977,653114,154,1
433,carringtondurham,False,Saturday,10,0,28430.8,977,653114,154,1
436,carringtondurham,False,Friday,10,0,38679.0,977,653114,154,1
437,carringtondurham,False,Tuesday,10,0,27983.6,977,653114,154,1
438,carringtondurham,False,Monday,10,0,32548.4,977,653114,154,1
440,carringtondurham,False,Saturday,9,0,36655.0,977,653114,154,1
441,carringtondurham,False,Sunday,7,0,31645.8,977,653114,154,1
442,mimielashiry,False,Wednesday,10,0,21757.0,4034,877576,1486,1
445,mimielashiry,False,Wednesday,10,0,21757.0,4034,877576,1486,1
446,mimielashiry,False,Thursday,10,0,28943.6,4034,877576,1486,1
447,mimielashiry,False,Saturday,10,0,30795.4,4034,877576,1486,1
448,mimielashiry,False,Monday,10,0,20743.4,4034,877576,1486,1
449,mimielashiry,False,Saturday,10,0,26902.4,4034,877576,1486,1
452,mimielashiry,False,Saturday,10,0,26902.4,4034,877576,1486,1
453,mimielashiry,False,Sunday,10,0,21357.8,4034,877576,1486,1
454,mimielashiry,False,Tuesday,10,0,24209.0,4034,877576,1486,1
455,mimielashiry,False,Friday,9,0,30612.2,4034,877576,1486,1
456,mimielashiry,True,Tuesday,9,0,24209.0,4034,877576,1486,1
458,mimielashiry,False,Sunday,6,0,32383.6,4034,877576,1486,1
463,janinauhse,False,Wednesday,10,0,16301.0,966,623238,874,1
464,janinauhse,False,Saturday,10,0,20694.2,966,623238,874,1
465,janinauhse,False,Thursday,10,2,35145.0,966,623238,874,1
467,janinauhse,False,Wednesday,10,0,37452.8,966,623238,874,1
468,janinauhse,False,Thursday,10,0,35145.0,966,623238,874,1
470,janinauhse,False,Friday,10,1,27725.6,966,623238,874,1
471,janinauhse,False,Saturday,10,1,21256.2,966,623238,874,1
472,janinauhse,False,Friday,10,2,27725.6,966,623238,874,1
473,janinauhse,False,Thursday,9,0,35145.0,966,623238,874,1
474,janinauhse,False,Friday,9,0,27725.6,966,623238,874,1
475,janinauhse,False,Saturday,8,1,21256.2,966,623238,874,1
476,jannikobenhoff,False,Monday,10,0,38915.8,603,608839,315,1
477,jannikobenhoff,False,Friday,10,0,36706.6,603,608839,315,1
478,jannikobenhoff,False,Friday,10,0,41569.8,603,608839,315,1
479,jannikobenhoff,False,Sunday,10,0,37643.6,603,608839,315,1
